"","group_set","group_value","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","efg_pct","blka","pct_ast_2pm","pct_uast_2pm","pct_ast_3pm","pct_uast_3pm","pct_ast_fgm","pct_uast_fgm","cfid","cfparams","team_id","seasontype"
"1","Overall","2014-15","3121","6699","0.466","818","2152","0.38","0.527","404","0.591","0.409","0.918","0.082","0.676","0.324","170","2014-15",1610612737,"regular"
"2","Overall","2014-15","3193","7211","0.443","660","2021","0.327","0.489","431","0.565","0.435","0.877","0.123","0.629","0.371","170","2014-15",1610612738,"regular"
"3","Overall","2014-15","3089","6739","0.458","826","2253","0.367","0.52","368","0.509","0.491","0.803","0.197","0.587","0.413","170","2014-15",1610612739,"regular"
"4","Overall","2014-15","3108","6795","0.457","586","1583","0.37","0.501","475","0.513","0.487","0.875","0.125","0.581","0.419","170","2014-15",1610612740,"regular"
"5","Overall","2014-15","3001","6797","0.442","645","1825","0.353","0.489","443","0.525","0.475","0.842","0.158","0.593","0.407","170","2014-15",1610612741,"regular"
"6","Overall","2014-15","3255","7036","0.463","732","2082","0.352","0.515","314","0.482","0.518","0.859","0.141","0.567","0.433","170","2014-15",1610612742,"regular"
"7","Overall","2014-15","3099","7158","0.433","660","2032","0.325","0.479","504","0.506","0.494","0.839","0.161","0.577","0.423","170","2014-15",1610612743,"regular"
"8","Overall","2014-15","3410","7137","0.478","883","2217","0.398","0.54","293","0.602","0.398","0.822","0.178","0.659","0.341","170","2014-15",1610612744,"regular"
"9","Overall","2014-15","3032","6832","0.444","933","2680","0.348","0.512","437","0.497","0.503","0.833","0.167","0.6","0.4","170","2014-15",1610612745,"regular"
"10","Overall","2014-15","3228","6830","0.473","827","2202","0.376","0.533","245","0.563","0.437","0.822","0.178","0.629","0.371","170","2014-15",1610612746,"regular"
"11","Overall","2014-15","3054","7020","0.435","532","1546","0.344","0.473","396","0.527","0.473","0.727","0.273","0.562","0.438","170","2014-15",1610612747,"regular"
"12","Overall","2014-15","2885","6330","0.456","556","1659","0.335","0.5","359","0.482","0.518","0.906","0.094","0.564","0.436","170","2014-15",1610612748,"regular"
"13","Overall","2014-15","3083","6722","0.459","545","1500","0.363","0.499","392","0.571","0.429","0.888","0.112","0.627","0.373","170","2014-15",1610612749,"regular"
"14","Overall","2014-15","2986","6820","0.438","406","1223","0.332","0.468","449","0.557","0.443","0.825","0.175","0.593","0.407","170","2014-15",1610612750,"regular"
"15","Overall","2014-15","3069","6804","0.451","541","1633","0.331","0.491","372","0.488","0.512","0.891","0.109","0.559","0.441","170","2014-15",1610612751,"regular"
"16","Overall","2014-15","2882","6726","0.428","560","1614","0.347","0.47","353","0.55","0.45","0.836","0.164","0.606","0.394","170","2014-15",1610612752,"regular"
"17","Overall","2014-15","3076","6792","0.453","554","1598","0.347","0.494","441","0.48","0.52","0.868","0.132","0.55","0.45","170","2014-15",1610612753,"regular"
"18","Overall","2014-15","2998","6824","0.439","612","1740","0.352","0.484","386","0.516","0.484","0.858","0.142","0.586","0.414","170","2014-15",1610612754,"regular"
"19","Overall","2014-15","2765","6777","0.408","692","2160","0.32","0.459","454","0.52","0.48","0.874","0.126","0.609","0.391","170","2014-15",1610612755,"regular"
"20","Overall","2014-15","3178","7038","0.452","698","2048","0.341","0.501","337","0.443","0.557","0.802","0.198","0.522","0.478","170","2014-15",1610612756,"regular"
"21","Overall","2014-15","3175","7049","0.45","807","2231","0.362","0.508","297","0.495","0.505","0.776","0.224","0.567","0.433","170","2014-15",1610612757,"regular"
"22","Overall","2014-15","3010","6617","0.455","461","1350","0.341","0.49","508","0.503","0.497","0.837","0.163","0.554","0.446","170","2014-15",1610612758,"regular"
"23","Overall","2014-15","3208","6854","0.468","677","1847","0.367","0.517","362","0.544","0.456","0.92","0.08","0.623","0.377","170","2014-15",1610612759,"regular"
"24","Overall","2014-15","3184","7119","0.447","632","1864","0.339","0.492","377","0.461","0.539","0.799","0.201","0.528","0.472","170","2014-15",1610612760,"regular"
"25","Overall","2014-15","3108","6829","0.455","726","2060","0.352","0.508","413","0.476","0.524","0.782","0.218","0.547","0.453","170","2014-15",1610612761,"regular"
"26","Overall","2014-15","2900","6492","0.447","610","1781","0.343","0.494","382","0.473","0.527","0.9","0.1","0.563","0.437","170","2014-15",1610612762,"regular"
"27","Overall","2014-15","3097","6763","0.458","423","1246","0.339","0.489","424","0.528","0.472","0.865","0.135","0.574","0.426","170","2014-15",1610612763,"regular"
"28","Overall","2014-15","3139","6790","0.462","497","1381","0.36","0.499","350","0.578","0.422","0.891","0.109","0.627","0.373","170","2014-15",1610612764,"regular"
"29","Overall","2014-15","590","1369","0.431","145","458","0.317","0.484","68","0.587","0.413","0.828","0.172","0.646","0.354","170","2014-15",1610612737,"playoff"
"30","Overall","2014-15","139","331","0.42","22","86","0.256","0.453","31","0.504","0.496","0.955","0.045","0.576","0.424","170","2014-15",1610612738,"playoff"
"31","Overall","2014-15","694","1654","0.42","195","574","0.34","0.479","94","0.403","0.597","0.815","0.185","0.519","0.481","170","2014-15",1610612739,"playoff"
"32","Overall","2014-15","152","337","0.451","27","85","0.318","0.491","25","0.568","0.432","0.815","0.185","0.612","0.388","170","2014-15",1610612740,"playoff"
"33","Overall","2014-15","421","1005","0.419","110","295","0.373","0.474","85","0.566","0.434","0.818","0.182","0.632","0.368","170","2014-15",1610612741,"playoff"
"34","Overall","2014-15","208","460","0.452","38","122","0.311","0.493","26","0.429","0.571","0.868","0.132","0.51","0.49","170","2014-15",1610612742,"playoff"
"35","Overall","2014-15","802","1769","0.453","240","641","0.374","0.521","98","0.584","0.416","0.779","0.221","0.642","0.358","170","2014-15",1610612744,"playoff"
"36","Overall","2014-15","635","1417","0.448","161","468","0.344","0.505","92","0.538","0.462","0.727","0.273","0.586","0.414","170","2014-15",1610612745,"playoff"
"37","Overall","2014-15","553","1187","0.466","117","356","0.329","0.515","69","0.518","0.482","0.761","0.239","0.57","0.43","170","2014-15",1610612746,"playoff"
"38","Overall","2014-15","205","529","0.388","33","109","0.303","0.419","42","0.535","0.465","0.909","0.091","0.595","0.405","170","2014-15",1610612749,"playoff"
"39","Overall","2014-15","217","499","0.435","51","144","0.354","0.486","28","0.512","0.488","0.882","0.118","0.599","0.401","170","2014-15",1610612751,"playoff"
"40","Overall","2014-15","167","418","0.4","46","131","0.351","0.455","31","0.339","0.661","0.913","0.087","0.497","0.503","170","2014-15",1610612757,"playoff"
"41","Overall","2014-15","268","597","0.449","67","183","0.366","0.505","43","0.527","0.473","0.94","0.06","0.631","0.369","170","2014-15",1610612759,"playoff"
"42","Overall","2014-15","147","353","0.416","30","100","0.3","0.459","26","0.453","0.547","0.833","0.167","0.531","0.469","170","2014-15",1610612761,"playoff"
"43","Overall","2014-15","393","925","0.425","48","154","0.312","0.451","62","0.539","0.461","0.792","0.208","0.57","0.43","170","2014-15",1610612763,"playoff"
"44","Overall","2014-15","373","845","0.441","94","233","0.403","0.497","48","0.509","0.491","0.947","0.053","0.619","0.381","170","2014-15",1610612764,"playoff"
