Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Golden State Warriors	74	966	11.7%	1.08	1039	382	860	44.4	55.8	5.1%	7.1%	4.7%	1.3%	43.2%	100.0
Indiana Pacers	74	678	8.4%	0.96	654	229	574	39.9	49.1	7.5%	8.6%	7.4%	1.0%	40.3%	69.0
Charlotte Hornets	74	532	6.7%	1.05	557	205	461	44.5	53.6	7.3%	7.3%	6.8%	1.3%	44.4%	93.1
Los Angeles Clippers	73	530	6.8%	1.04	551	213	475	44.8	53.8	4.9%	6.6%	4.5%	1.3%	43.8%	89.7
Minnesota Timberwolves	74	590	7.4%	0.89	524	208	500	41.6	45.1	9.7%	7.8%	9.2%	2.2%	42.2%	24.1
Atlanta Hawks	75	495	6.2%	0.98	483	180	446	40.4	51.7	3.2%	7.7%	3.2%	1.0%	38.6%	75.9
Boston Celtics	74	515	6.2%	0.94	482	187	463	40.4	47.8	4.9%	6.2%	3.9%	1.0%	40.2%	58.6
Dallas Mavericks	74	558	7.1%	0.85	475	190	495	38.4	44.2	4.3%	7.3%	3.8%	0.4%	37.8%	6.9
Sacramento Kings	74	503	6.0%	0.93	466	179	429	41.7	46.4	10.3%	7.0%	9.1%	2.6%	42.7%	51.7
Toronto Raptors	73	532	6.9%	0.85	453	173	460	37.6	43.2	7.0%	7.3%	6.8%	1.1%	38.2%	10.3
Portland Trail Blazers	75	484	5.9%	0.91	442	169	427	39.6	46.8	4.5%	7.9%	3.7%	0.6%	38.8%	41.4
New York Knicks	75	488	6.1%	0.90	439	174	442	39.4	44.0	6.1%	4.1%	5.9%	0.8%	41.0%	27.6
Phoenix Suns	74	449	5.4%	0.94	424	166	393	42.2	49.0	5.6%	7.6%	4.5%	0.7%	41.6%	62.1
San Antonio Spurs	74	415	5.4%	1.00	414	163	371	43.9	51.5	4.8%	6.7%	4.1%	1.0%	43.1%	79.3
New Orleans Pelicans	73	391	4.9%	1.05	411	157	348	45.1	53.3	7.4%	4.9%	6.6%	1.3%	45.8%	96.6
Washington Wizards	74	421	5.2%	0.91	384	148	366	40.4	48.4	5.2%	9.0%	4.8%	1.2%	39.2%	34.5
Oklahoma City Thunder	75	400	4.7%	0.95	379	148	333	44.4	51.2	6.0%	11.5%	5.3%	0.8%	42.0%	65.5
Cleveland Cavaliers	74	367	4.7%	1.03	378	142	335	42.4	52.4	4.6%	4.9%	4.1%	0.8%	42.2%	86.2
Los Angeles Lakers	74	421	5.3%	0.87	365	135	380	35.5	43.0	5.9%	5.0%	5.2%	1.4%	36.6%	20.7
Orlando Magic	74	398	4.9%	0.90	360	143	344	41.6	47.7	5.3%	8.8%	5.0%	0.8%	40.5%	31.0
Memphis Grizzlies	74	371	4.7%	0.93	345	131	327	40.1	46.9	7.0%	6.5%	6.5%	1.9%	40.2%	55.2
Miami Heat	73	365	4.8%	0.91	333	139	314	44.3	46.7	7.4%	7.9%	6.8%	1.4%	44.1%	37.9
Milwaukee Bucks	74	355	4.5%	0.92	326	125	304	41.1	48.2	5.9%	9.6%	5.1%	1.1%	40.0%	48.3
Brooklyn Nets	74	343	4.3%	0.87	297	108	278	38.8	44.8	8.5%	10.5%	7.0%	0.3%	39.1%	17.2
Chicago Bulls	74	292	3.6%	0.92	268	93	261	35.6	45.2	6.8%	4.5%	4.8%	0.7%	38.0%	44.8
Houston Rockets	75	275	3.3%	0.97	266	89	231	38.5	49.8	8.4%	9.1%	7.6%	1.5%	38.5%	72.4
Denver Nuggets	75	242	2.9%	1.00	243	81	202	40.1	50.7	8.7%	9.5%	7.0%	1.7%	40.5%	82.8
Detroit Pistons	75	303	3.6%	0.77	233	85	273	31.1	38.5	5.6%	5.3%	5.0%	1.0%	32.0%	0.0
Philadelphia 76ers	75	261	3.2%	0.85	221	77	220	35.0	44.8	6.1%	11.5%	5.7%	1.9%	33.3%	3.4
Utah Jazz	74	226	2.9%	0.86	195	68	197	34.5	44.2	5.8%	7.1%	5.3%	0.4%	35.0%	13.8