Team	GP	Poss	Freq	PPP	PTS	FGM	FGA	FG%	eFG%	FT	TO	SF	And_One	Score	Percentile	FT_Freq	TO_Freq	SF_Freq	And_One_Freq	Score_Freq
Detroit Pistons	75	663	8.0%	1.01	671	304	577	52.7	53.0	10.9%	4.8%	9.8%	2.7%	51.3%	27.6
Oklahoma City Thunder	75	549	6.5%	1.07	585	246	456	53.9	54.2	12.9%	6.4%	11.3%	2.4%	54.5%	58.6
Minnesota Timberwolves	74	457	5.7%	1.20	550	223	372	59.9	59.9	15.8%	6.3%	13.3%	3.5%	60.2%	96.6
Denver Nuggets	75	526	6.4%	1.04	549	235	443	53.0	53.4	12.4%	6.3%	10.8%	2.9%	52.7%	51.7
Miami Heat	73	453	5.9%	1.20	542	223	365	61.1	61.2	16.8%	6.2%	15.0%	3.8%	61.8%	93.1
New York Knicks	75	453	5.7%	1.19	537	228	383	59.5	60.2	12.1%	5.1%	10.4%	1.8%	59.8%	89.7
Memphis Grizzlies	74	516	6.6%	1.03	532	224	428	52.3	52.7	12.6%	6.2%	10.9%	2.1%	52.9%	34.5
Phoenix Suns	74	498	6.0%	1.06	529	227	424	53.5	53.9	12.2%	5.6%	10.6%	3.4%	53.6%	55.2
Milwaukee Bucks	74	490	6.2%	1.07	525	226	417	54.2	54.3	11.6%	4.7%	10.4%	1.4%	55.5%	65.5
Orlando Magic	74	480	6.0%	1.09	521	224	409	54.8	54.8	11.3%	5.6%	10.2%	2.1%	55.6%	69.0
Portland Trail Blazers	75	464	5.7%	1.11	513	218	381	57.2	58.0	13.8%	6.0%	12.1%	2.4%	56.3%	75.9
Chicago Bulls	74	516	6.3%	0.98	506	211	440	48.0	48.2	11.0%	4.8%	9.9%	1.4%	50.0%	13.8
Sacramento Kings	74	471	5.6%	1.07	503	214	398	53.8	53.9	12.1%	6.6%	10.0%	3.2%	54.1%	62.1
Philadelphia 76ers	75	436	5.3%	1.14	497	211	362	58.3	58.8	14.9%	5.3%	13.3%	3.4%	57.6%	79.3
Houston Rockets	75	456	5.5%	1.04	475	200	360	55.6	56.0	16.9%	6.4%	14.9%	2.4%	54.2%	48.3
Boston Celtics	74	474	5.7%	1.00	473	207	407	50.9	51.2	9.1%	6.1%	7.8%	1.1%	51.3%	20.7
San Antonio Spurs	74	360	4.7%	1.31	471	192	293	65.5	65.7	16.7%	5.0%	14.2%	3.1%	66.4%	100.0
Indiana Pacers	74	396	4.9%	1.18	468	195	330	59.1	59.7	12.6%	6.1%	11.4%	2.0%	59.3%	86.2
Utah Jazz	74	443	5.7%	1.04	460	185	353	52.4	52.5	15.3%	6.3%	12.6%	1.6%	54.4%	41.4
Brooklyn Nets	74	463	5.9%	0.98	456	193	389	49.6	49.9	12.7%	5.8%	11.7%	3.0%	49.7%	17.2
Los Angeles Lakers	74	435	5.4%	1.04	452	182	359	50.7	51.8	13.3%	6.7%	13.1%	3.0%	51.3%	44.8
New Orleans Pelicans	73	426	5.4%	1.02	434	187	361	51.8	52.1	10.8%	5.6%	10.3%	1.4%	52.1%	31.0
Toronto Raptors	73	431	5.6%	0.96	415	164	345	47.5	47.7	16.2%	5.6%	13.0%	1.9%	50.3%	3.4
Charlotte Hornets	74	323	4.1%	1.15	372	158	276	57.2	57.6	12.1%	4.6%	10.8%	2.5%	57.6%	82.8
Cleveland Cavaliers	74	359	4.6%	1.01	362	145	285	50.9	51.6	15.0%	8.9%	13.1%	3.3%	50.7%	24.1
Golden State Warriors	74	398	4.8%	0.91	361	149	335	44.5	45.1	11.8%	6.0%	10.8%	2.3%	46.0%	0.0
Los Angeles Clippers	73	325	4.2%	1.04	337	145	272	53.3	53.9	12.0%	5.8%	10.5%	1.8%	53.5%	37.9
Atlanta Hawks	75	286	3.6%	1.09	312	123	227	54.2	54.6	14.7%	7.7%	9.8%	1.7%	55.9%	72.4
Washington Wizards	74	318	4.0%	0.97	308	139	271	51.3	51.8	9.1%	6.9%	7.9%	1.6%	50.0%	6.9
Dallas Mavericks	74	303	3.8%	0.97	295	119	244	48.8	49.2	12.9%	8.3%	10.9%	1.7%	49.8%	10.3