"","team_id","game_id","game_date","matchup","wl","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","tov","pf","pts","seasontype"
"1","1610612744","0021401229","APR 15, 2015","GSW vs. DEN","W","240","47","90","0.522","13","28","0.464","26","34","0.765","14","27","41","30","11","6","13","25","133","Regular Season"
"2","1610612744","0021401212","APR 13, 2015","GSW vs. MEM","W","240","39","74","0.527","13","24","0.542","20","27","0.741","6","33","39","30","9","7","21","22","111","Regular Season"
"3","1610612744","0021401192","APR 11, 2015","GSW vs. MIN","W","240","42","93","0.452","11","31","0.355","15","21","0.714","13","37","50","28","10","5","12","19","110","Regular Season"
"4","1610612744","0021401174","APR 09, 2015","GSW vs. POR","W","240","48","90","0.533","12","26","0.462","8","9","0.889","9","35","44","27","6","5","13","12","116","Regular Season"
"5","1610612744","0021401156","APR 07, 2015","GSW @ NOP","L","240","42","95","0.442","9","22","0.409","7","10","0.7","11","39","50","25","6","12","11","21","100","Regular Season"
"6","1610612744","0021401150","APR 05, 2015","GSW @ SAS","L","240","39","91","0.429","9","28","0.321","5","10","0.5","10","29","39","25","4","2","10","13","92","Regular Season"
"7","1610612744","0021401142","APR 04, 2015","GSW @ DAL","W","240","43","95","0.453","14","36","0.389","23","32","0.719","17","38","55","28","12","4","14","37","123","Regular Season"
"8","1610612744","0021401126","APR 02, 2015","GSW vs. PHX","W","240","43","93","0.462","10","26","0.385","11","17","0.647","15","35","50","29","6","5","13","20","107","Regular Season"
"9","1610612744","0021401111","MAR 31, 2015","GSW @ LAC","W","240","38","85","0.447","8","21","0.381","26","34","0.765","10","33","43","28","6","1","9","20","110","Regular Season"
"10","1610612744","0021401089","MAR 28, 2015","GSW @ MIL","W","240","42","82","0.512","12","25","0.48","12","14","0.857","7","38","45","27","7","8","22","23","108","Regular Season"
"11","1610612744","0021401082","MAR 27, 2015","GSW @ MEM","W","240","39","90","0.433","16","31","0.516","13","17","0.765","14","29","43","28","15","5","14","17","107","Regular Season"
"12","1610612744","0021401059","MAR 24, 2015","GSW @ POR","W","240","50","83","0.602","12","26","0.462","10","11","0.909","6","40","46","37","4","5","13","18","122","Regular Season"
"13","1610612744","0021401053","MAR 23, 2015","GSW vs. WAS","W","240","39","95","0.411","13","33","0.394","16","21","0.762","19","43","62","23","9","6","11","14","107","Regular Season"
"14","1610612744","0021401036","MAR 21, 2015","GSW vs. UTA","W","240","38","78","0.487","8","18","0.444","22","26","0.846","7","30","37","25","11","3","10","17","106","Regular Season"
"15","1610612744","0021401030","MAR 20, 2015","GSW vs. NOP","W","240","44","88","0.5","5","19","0.263","19","23","0.826","12","30","42","29","9","6","10","19","112","Regular Season"
"16","1610612744","0021401014","MAR 18, 2015","GSW vs. ATL","W","240","44","84","0.524","14","30","0.467","12","20","0.6","10","34","44","39","8","7","18","23","114","Regular Season"
"17","1610612744","0021400999","MAR 16, 2015","GSW vs. LAL","W","240","40","84","0.476","7","27","0.259","21","23","0.913","7","30","37","28","16","7","14","21","108","Regular Season"
"18","1610612744","0021400981","MAR 14, 2015","GSW vs. NYK","W","240","45","90","0.5","19","34","0.559","16","17","0.941","8","34","42","34","13","6","9","16","125","Regular Season"
"19","1610612744","0021400973","MAR 13, 2015","GSW @ DEN","L","240","39","92","0.424","8","19","0.421","17","22","0.773","9","26","35","29","5","10","8","25","103","Regular Season"
"20","1610612744","0021400960","MAR 11, 2015","GSW vs. DET","W","240","44","84","0.524","7","20","0.35","10","13","0.769","10","32","42","29","5","6","17","11","105","Regular Season"
"21","1610612744","0021400944","MAR 09, 2015","GSW @ PHX","W","240","35","83","0.422","13","31","0.419","15","19","0.789","9","39","48","17","11","8","18","21","98","Regular Season"
"22","1610612744","0021400932","MAR 08, 2015","GSW vs. LAC","W","240","40","80","0.5","10","22","0.455","16","23","0.696","7","30","37","23","13","3","13","15","106","Regular Season"
"23","1610612744","0021400922","MAR 06, 2015","GSW vs. DAL","W","240","38","81","0.469","11","23","0.478","17","19","0.895","9","42","51","28","5","11","22","21","104","Regular Season"
"24","1610612744","0021400907","MAR 04, 2015","GSW vs. MIL","W","240","37","73","0.507","14","34","0.412","14","25","0.56","4","30","34","30","16","8","16","24","102","Regular Season"
"25","1610612744","0021400886","MAR 02, 2015","GSW @ BKN","L","240","42","90","0.467","11","30","0.367","13","18","0.722","17","33","50","26","11","7","15","20","108","Regular Season"
"26","1610612744","0021400880","MAR 01, 2015","GSW @ BOS","W","240","40","95","0.421","12","34","0.353","14","17","0.824","15","40","55","19","4","8","10","18","106","Regular Season"
"27","1610612744","0021400861","FEB 27, 2015","GSW @ TOR","W","240","42","87","0.483","13","28","0.464","16","19","0.842","9","38","47","31","11","5","12","22","113","Regular Season"
"28","1610612744","0021400854","FEB 26, 2015","GSW @ CLE","L","240","39","92","0.424","11","29","0.379","10","19","0.526","14","30","44","32","10","6","14","24","99","Regular Season"
"29","1610612744","0021400838","FEB 24, 2015","GSW @ WAS","W","240","45","90","0.5","12","23","0.522","12","17","0.706","4","25","29","27","12","1","9","17","114","Regular Season"
"30","1610612744","0021400824","FEB 22, 2015","GSW @ IND","L","240","34","89","0.382","9","26","0.346","21","22","0.955","13","32","45","19","9","5","9","25","98","Regular Season"
"31","1610612744","0021400814","FEB 20, 2015","GSW vs. SAS","W","240","41","84","0.488","17","33","0.515","11","18","0.611","7","33","40","29","10","5","12","18","110","Regular Season"
"32","1610612744","0021400793","FEB 11, 2015","GSW @ MIN","W","240","40","90","0.444","7","27","0.259","7","9","0.778","10","39","49","26","7","6","15","18","94","Regular Season"
"33","1610612744","0021400775","FEB 09, 2015","GSW @ PHI","W","240","34","85","0.4","7","29","0.241","14","19","0.737","6","34","40","26","15","5","14","14","89","Regular Season"
"34","1610612744","0021400760","FEB 07, 2015","GSW @ NYK","W","240","37","81","0.457","12","25","0.48","20","24","0.833","12","36","48","21","8","5","14","19","106","Regular Season"
"35","1610612744","0021400749","FEB 06, 2015","GSW @ ATL","L","240","47","103","0.456","12","33","0.364","10","15","0.667","19","32","51","31","7","7","14","24","116","Regular Season"
"36","1610612744","0021400741","FEB 04, 2015","GSW vs. DAL","W","240","45","86","0.523","19","38","0.5","19","25","0.76","10","36","46","29","5","5","13","22","128","Regular Season"
"37","1610612744","0021400730","FEB 03, 2015","GSW @ SAC","W","240","46","91","0.505","10","23","0.435","19","26","0.731","14","35","49","33","13","5","11","23","121","Regular Season"
"38","1610612744","0021400715","JAN 31, 2015","GSW vs. PHX","W","240","40","87","0.46","12","32","0.375","14","18","0.778","9","35","44","27","11","8","15","20","106","Regular Season"
"39","1610612744","0021400703","JAN 30, 2015","GSW @ UTA","L","240","37","86","0.43","8","27","0.296","18","25","0.72","11","30","41","21","8","2","13","19","100","Regular Season"
"40","1610612744","0021400679","JAN 27, 2015","GSW vs. CHI","L","265","48","113","0.425","9","33","0.273","6","12","0.5","15","33","48","31","9","2","13","15","111","Regular Season"
"41","1610612744","0021400665","JAN 25, 2015","GSW vs. BOS","W","240","42","89","0.472","8","23","0.348","22","25","0.88","9","38","47","29","9","3","13","20","114","Regular Season"
"42","1610612744","0021400651","JAN 23, 2015","GSW vs. SAC","W","240","45","94","0.479","17","40","0.425","19","22","0.864","12","34","46","32","13","8","17","22","126","Regular Season"
"43","1610612744","0021400636","JAN 21, 2015","GSW vs. HOU","W","240","49","98","0.5","13","29","0.448","15","18","0.833","16","30","46","26","13","9","16","23","126","Regular Season"
"44","1610612744","0021400615","JAN 19, 2015","GSW vs. DEN","W","240","44","81","0.543","13","27","0.481","21","27","0.778","7","46","53","30","10","6","13","14","122","Regular Season"
"45","1610612744","0021400603","JAN 17, 2015","GSW @ HOU","W","240","50","91","0.549","9","22","0.409","22","33","0.667","12","37","49","32","11","11","14","21","131","Regular Season"
"46","1610612744","0021400593","JAN 16, 2015","GSW @ OKC","L","240","42","92","0.457","9","24","0.375","22","28","0.786","13","30","43","24","10","2","14","14","115","Regular Season"
"47","1610612744","0021400582","JAN 14, 2015","GSW vs. MIA","W","240","38","81","0.469","13","29","0.448","15","19","0.789","10","26","36","29","5","5","13","21","104","Regular Season"
"48","1610612744","0021400571","JAN 13, 2015","GSW @ UTA","W","240","46","91","0.505","13","25","0.52","11","13","0.846","6","25","31","32","10","5","9","16","116","Regular Season"
"49","1610612744","0021400547","JAN 09, 2015","GSW vs. CLE","W","240","43","86","0.5","10","30","0.333","16","17","0.941","9","35","44","35","9","8","13","20","112","Regular Season"
"50","1610612744","0021400533","JAN 07, 2015","GSW vs. IND","W","240","45","91","0.495","12","28","0.429","15","20","0.75","10","29","39","30","11","3","11","23","117","Regular Season"
"51","1610612744","0021400518","JAN 05, 2015","GSW vs. OKC","W","240","41","88","0.466","15","28","0.536","20","32","0.625","10","44","54","27","8","4","12","22","117","Regular Season"
"52","1610612744","0021400493","JAN 02, 2015","GSW vs. TOR","W","240","49","92","0.533","12","28","0.429","16","20","0.8","14","31","45","35","8","8","9","18","126","Regular Season"
"53","1610612744","0021400474","DEC 30, 2014","GSW vs. PHI","W","240","46","82","0.561","12","28","0.429","22","27","0.815","8","34","42","38","19","11","14","20","126","Regular Season"
"54","1610612744","0021400452","DEC 27, 2014","GSW vs. MIN","W","240","41","88","0.466","11","28","0.393","17","21","0.81","9","34","43","32","17","6","16","21","110","Regular Season"
"55","1610612744","0021400431","DEC 25, 2014","GSW @ LAC","L","240","34","80","0.425","6","28","0.214","12","22","0.545","8","36","44","24","11","4","16","21","86","Regular Season"
"56","1610612744","0021400426","DEC 23, 2014","GSW @ LAL","L","240","39","84","0.464","12","26","0.462","15","17","0.882","11","28","39","20","8","2","19","18","105","Regular Season"
"57","1610612744","0021400415","DEC 22, 2014","GSW vs. SAC","W","240","49","91","0.538","9","25","0.36","21","24","0.875","10","35","45","36","9","6","12","19","128","Regular Season"
"58","1610612744","0021400382","DEC 18, 2014","GSW vs. OKC","W","240","48","94","0.511","12","31","0.387","6","10","0.6","10","29","39","32","9","7","9","15","114","Regular Season"
"59","1610612744","0021400365","DEC 16, 2014","GSW @ MEM","L","240","39","95","0.411","9","31","0.29","11","12","0.917","15","34","49","18","9","11","14","19","98","Regular Season"
"60","1610612744","0021400348","DEC 14, 2014","GSW @ NOP","W","265","44","86","0.512","11","24","0.458","29","35","0.829","8","38","46","22","7","9","19","19","128","Regular Season"
"61","1610612744","0021400340","DEC 13, 2014","GSW @ DAL","W","240","37","83","0.446","10","32","0.313","21","27","0.778","9","36","45","21","7","7","13","24","105","Regular Season"
"62","1610612744","0021400324","DEC 10, 2014","GSW vs. HOU","W","240","40","81","0.494","8","23","0.348","17","20","0.85","6","37","43","21","9","5","15","16","105","Regular Season"
"63","1610612744","0021400305","DEC 08, 2014","GSW @ MIN","W","240","42","91","0.462","5","22","0.227","13","14","0.929","15","36","51","24","15","6","17","18","102","Regular Season"
"64","1610612744","0021400289","DEC 06, 2014","GSW @ CHI","W","240","40","89","0.449","12","30","0.4","20","25","0.8","15","25","40","27","14","6","11","21","112","Regular Season"
"65","1610612744","0021400275","DEC 04, 2014","GSW vs. NOP","W","240","47","100","0.47","10","22","0.455","8","17","0.471","18","38","56","31","11","8","9","8","112","Regular Season"
"66","1610612744","0021400262","DEC 02, 2014","GSW vs. ORL","W","240","38","82","0.463","8","27","0.296","14","18","0.778","13","36","49","25","8","5","15","15","98","Regular Season"
"67","1610612744","0021400243","NOV 30, 2014","GSW @ DET","W","240","37","79","0.468","9","21","0.429","21","27","0.778","9","40","49","24","5","8","16","19","104","Regular Season"
"68","1610612744","0021400224","NOV 28, 2014","GSW @ CHA","W","240","42","99","0.424","7","26","0.269","15","16","0.938","16","30","46","28","7","8","12","26","106","Regular Season"
"69","1610612744","0021400212","NOV 26, 2014","GSW @ ORL","W","240","44","85","0.518","12","26","0.462","11","19","0.579","8","39","47","30","7","6","15","19","111","Regular Season"
"70","1610612744","0021400206","NOV 25, 2014","GSW @ MIA","W","240","43","75","0.573","13","28","0.464","15","23","0.652","5","40","45","21","6","9","11","24","114","Regular Season"
"71","1610612744","0021400196","NOV 23, 2014","GSW @ OKC","W","240","33","93","0.355","7","25","0.28","18","24","0.75","13","39","52","26","7","8","9","18","91","Regular Season"
"72","1610612744","0021400182","NOV 21, 2014","GSW vs. UTA","W","240","41","82","0.5","6","23","0.261","13","19","0.684","6","34","40","28","10","5","13","18","101","Regular Season"
"73","1610612744","0021400145","NOV 16, 2014","GSW @ LAL","W","240","46","86","0.535","14","28","0.5","30","34","0.882","11","40","51","32","4","5","16","26","136","Regular Season"
"74","1610612744","0021400140","NOV 15, 2014","GSW vs. CHA","W","240","45","87","0.517","11","26","0.423","11","14","0.786","11","40","51","30","7","3","14","25","112","Regular Season"
"75","1610612744","0021400121","NOV 13, 2014","GSW vs. BKN","W","240","41","90","0.456","11","34","0.324","14","21","0.667","14","31","45","30","7","10","10","16","107","Regular Season"
"76","1610612744","0021400108","NOV 11, 2014","GSW vs. SAS","L","240","38","70","0.543","7","20","0.35","17","20","0.85","1","37","38","23","5","4","19","16","100","Regular Season"
"77","1610612744","0021400095","NOV 09, 2014","GSW @ PHX","L","240","33","69","0.478","11","24","0.458","18","21","0.857","3","33","36","16","9","7","26","26","95","Regular Season"
"78","1610612744","0021400087","NOV 08, 2014","GSW @ HOU","W","240","39","87","0.448","9","28","0.321","11","17","0.647","15","39","54","22","11","8","26","19","98","Regular Season"
"79","1610612744","0021400068","NOV 05, 2014","GSW vs. LAC","W","240","43","74","0.581","15","25","0.6","20","20","1","4","35","39","29","7","3","23","22","121","Regular Season"
"80","1610612744","0021400042","NOV 02, 2014","GSW @ POR","W","240","36","81","0.444","6","19","0.316","17","21","0.81","7","34","41","22","11","7","17","16","95","Regular Season"
"81","1610612744","0021400038","NOV 01, 2014","GSW vs. LAL","W","240","46","83","0.554","11","23","0.478","24","28","0.857","12","31","43","30","10","4","20","26","127","Regular Season"
"82","1610612744","0021400014","OCT 29, 2014","GSW @ SAC","W","240","33","75","0.44","6","27","0.222","23","32","0.719","7","37","44","21","12","8","22","32","95","Regular Season"
"83","1610612744","0041400406","JUN 16, 2015","GSW @ CLE","W","240","37","85","0.435","13","34","0.382","18","29","0.621","7","32","39","28","11","4","9","27","105","Playoffs"
"84","1610612744","0041400405","JUN 14, 2015","GSW vs. CLE","W","240","36","75","0.48","12","26","0.462","20","34","0.588","11","32","43","25","7","2","16","25","104","Playoffs"
"85","1610612744","0041400404","JUN 11, 2015","GSW @ CLE","W","240","36","77","0.468","12","30","0.4","19","27","0.704","6","38","44","24","5","5","7","21","103","Playoffs"
"86","1610612744","0041400403","JUN 09, 2015","GSW @ CLE","L","240","36","90","0.4","12","34","0.353","7","12","0.583","18","28","46","21","6","7","14","25","91","Playoffs"
"87","1610612744","0041400402","JUN 07, 2015","GSW vs. CLE","L","265","33","83","0.398","8","35","0.229","19","25","0.76","10","35","45","16","11","7","18","31","93","Playoffs"
"88","1610612744","0041400401","JUN 04, 2015","GSW vs. CLE","W","265","39","88","0.443","10","27","0.37","20","22","0.909","11","37","48","24","8","5","12","16","108","Playoffs"
"89","1610612744","0041400315","MAY 27, 2015","GSW vs. HOU","W","240","37","91","0.407","9","29","0.31","21","31","0.677","19","40","59","25","10","4","16","30","104","Playoffs"
"90","1610612744","0041400314","MAY 25, 2015","GSW @ HOU","L","240","44","97","0.454","20","46","0.435","7","13","0.538","10","37","47","26","9","9","15","29","115","Playoffs"
"91","1610612744","0041400313","MAY 23, 2015","GSW @ HOU","W","240","44","97","0.454","11","28","0.393","16","20","0.8","17","43","60","26","9","6","13","27","115","Playoffs"
"92","1610612744","0041400312","MAY 21, 2015","GSW vs. HOU","W","240","41","77","0.532","8","24","0.333","9","13","0.692","7","32","39","31","7","8","16","17","99","Playoffs"
"93","1610612744","0041400311","MAY 19, 2015","GSW vs. HOU","W","240","43","92","0.467","10","29","0.345","14","22","0.636","14","29","43","27","9","3","12","23","110","Playoffs"
"94","1610612744","0041400226","MAY 15, 2015","GSW @ MEM","W","240","41","81","0.506","15","32","0.469","11","14","0.786","7","40","47","27","1","8","12","24","108","Playoffs"
"95","1610612744","0041400225","MAY 13, 2015","GSW vs. MEM","W","240","38","81","0.469","14","30","0.467","8","10","0.8","14","30","44","28","9","6","16","13","98","Playoffs"
"96","1610612744","0041400224","MAY 11, 2015","GSW @ MEM","W","240","38","80","0.475","14","33","0.424","11","16","0.688","10","35","45","22","11","10","21","23","101","Playoffs"
"97","1610612744","0041400223","MAY 09, 2015","GSW @ MEM","L","240","32","74","0.432","6","26","0.231","19","28","0.679","10","29","39","20","7","7","17","23","89","Playoffs"
"98","1610612744","0041400222","MAY 05, 2015","GSW vs. MEM","L","240","31","74","0.419","6","26","0.231","22","28","0.786","9","36","45","16","6","3","20","18","90","Playoffs"
"99","1610612744","0041400221","MAY 03, 2015","GSW vs. MEM","W","240","39","77","0.506","13","28","0.464","10","15","0.667","7","32","39","26","13","2","15","20","101","Playoffs"
"100","1610612744","0041400144","APR 25, 2015","GSW @ NOP","W","240","40","79","0.506","13","24","0.542","16","23","0.696","10","29","39","28","6","7","10","18","109","Playoffs"
"101","1610612744","0041400143","APR 23, 2015","GSW @ NOP","W","265","42","104","0.404","14","41","0.341","25","30","0.833","22","29","51","24","4","6","10","22","123","Playoffs"
"102","1610612744","0041400142","APR 20, 2015","GSW vs. NOP","W","240","38","86","0.442","9","30","0.3","12","19","0.632","14","35","49","27","8","6","13","18","97","Playoffs"
"103","1610612744","0041400141","APR 18, 2015","GSW vs. NOP","W","240","37","81","0.457","11","29","0.379","21","34","0.618","10","37","47","24","11","6","15","21","106","Playoffs"
